artist,track,track_url,tags
Red Hot Chili Peppers,Otherside,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Otherside,"rock, alternative rock, alternative, Red Hot Chili Peppers, funk, Funk Rock, 90s, american, classic rock, California"
Red Hot Chili Peppers,Can't Stop,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Can%27t+Stop,"rock, alternative rock, funk, alternative, Red Hot Chili Peppers, Funk Rock, 00s, american, rhcp, hard rock"
TWICE,FANCY,https://www.last.fm/music/TWICE/_/FANCY,"k-pop, 2019, Kpop, electropop, soty, Korean, pop, dance-pop, electro house, perfect"
TWICE,The Feels,https://www.last.fm/music/TWICE/_/The+Feels,"k-pop, pop, Disco, dance-pop, nu-disco, 2021, dance, Kpop, IM SO CURIOUS, twice"
TWICE,I CAN'T STOP ME,https://www.last.fm/music/TWICE/_/I+CAN%27T+STOP+ME,"synthwave, k-pop, synthpop, Kpop, Retro, Disco, electropop, pop, retrowave, retro pop"
TWICE,Feel Special,https://www.last.fm/music/TWICE/_/Feel+Special,"2019, k-pop, electropop, pop, future house, House, dance, Korean, synthpop, dance-pop"
Eminem,Without Me,https://www.last.fm/music/Eminem/_/Without+Me,"rap, Hip-Hop, Eminem, hip hop, 00s, 2002, pop, american, Without Me, funny"
Eminem,The Real Slim Shady,https://www.last.fm/music/Eminem/_/The+Real+Slim+Shady,"rap, Hip-Hop, Eminem, hip hop, 00s, 2000, hiphop, american, detroit, fun"
Eminem,Lose Yourself,https://www.last.fm/music/Eminem/_/Lose+Yourself,"rap, Hip-Hop, Eminem, Soundtrack, hip hop, 8 Mile, 00s, american, epic, 2002"
Eminem,Mockingbird,https://www.last.fm/music/Eminem/_/Mockingbird,"rap, Hip-Hop, Eminem, hip hop, mockingbird, sad, pop, 00s, piano, Gangsta Rap"
Eminem,Stan,https://www.last.fm/music/Eminem/_/Stan,"rap, Hip-Hop, Eminem, hip hop, dido, 00s, Horrorcore, 2000, sad, classic"
The Cure,Friday I'm in Love,https://www.last.fm/music/The+Cure/_/Friday+I%27m+in+Love,"new wave, 80s, alternative, rock, The Cure, post-punk, Love, 90s, pop, alternative rock"
